"","p1_luck","p2_luck","p1_skill","p2_skill","p1_chip","p2_chip","endstate"
"221",0,0,100,-100,100,-100,1
"222",0,0,100,-100,100,-100,1
"223",0,0,100,-100,100,-100,1
"224",0,0,100,-100,100,-100,1
"225",0,0,100,-100,100,-100,1
"226",0,0,100,-100,100,-100,1
"227",0,0,100,-100,100,-100,1
"228",0,0,100,-100,100,-100,1
"229",0,0,100,-100,100,-100,1
"230",0,0,100,-100,100,-100,1
"231",0,0,100,-100,100,-100,1
"232",0,0,100,-100,100,-100,1
"233",0,0,100,-100,100,-100,1
"234",0,0,100,-100,100,-100,1
"235",0,0,100,-100,100,-100,1
"236",0,0,100,-100,100,-100,1
"237",0,0,100,-100,100,-100,1
"238",0,0,100,-100,100,-100,1
"239",0,0,100,-100,100,-100,1
"240",0,0,100,-100,100,-100,1
"241",0,0,100,-100,100,-100,1
"242",0,0,100,-100,100,-100,1
"243",0,0,100,-100,100,-100,1
"244",0,0,100,-100,100,-100,1
"245",0,0,100,-100,100,-100,1
"246",0,0,100,-100,100,-100,1
"247",0,0,100,-100,100,-100,1
"248",0,0,100,-100,100,-100,1
"249",0,0,100,-100,100,-100,1
"250",0,0,100,-100,100,-100,1
"251",0,0,100,-100,100,-100,1
"252",0,0,100,-100,100,-100,1
"253",0,0,100,-100,100,-100,1
"254",0,0,100,-100,100,-100,1
"255",0,0,100,-100,100,-100,1
"256",0,0,100,-100,100,-100,1
"257",0,0,100,-100,100,-100,1
"258",0,0,100,-100,100,-100,1
"259",0,0,100,-100,100,-100,1
"260",0,0,100,-100,100,-100,1
"261",0,0,100,-100,100,-100,1
"262",0,0,100,-100,100,-100,1
"263",0,0,-20000,20000,-20000,20000,2
"264",0,0,100,-100,100,-100,1
"265",0,0,100,-100,100,-100,1
"266",0,0,100,-100,100,-100,1
"267",0,0,100,-100,100,-100,1
"268",0,0,100,-100,100,-100,1
"269",0,0,100,-100,100,-100,1
"270",0,0,100,-100,100,-100,1
"271",0,0,100,-100,100,-100,1
"272",0,0,100,-100,100,-100,1
"273",0,0,100,-100,100,-100,1
"274",0,0,100,-100,100,-100,1
"275",0,0,100,-100,100,-100,1
"276",0,0,100,-100,100,-100,1
"277",0,0,100,-100,100,-100,1
"278",0,0,100,-100,100,-100,1
"279",0,0,100,-100,100,-100,1
"280",0,0,100,-100,100,-100,1
"281",0,0,100,-100,100,-100,1
"282",0,0,100,-100,100,-100,1
"283",0,0,100,-100,100,-100,1
"284",0,0,100,-100,100,-100,1
"285",0,0,100,-100,100,-100,1
"286",0,0,100,-100,100,-100,1
"287",0,0,100,-100,100,-100,1
"288",0,0,100,-100,100,-100,1
"289",0,0,100,-100,100,-100,1
"290",0,0,100,-100,100,-100,1
"291",0,0,100,-100,100,-100,1
"292",0,0,100,-100,100,-100,1
"293",0,0,100,-100,100,-100,1
"294",0,0,100,-100,100,-100,1
"295",0,0,100,-100,100,-100,1
"296",0,0,100,-100,100,-100,1
"297",0,0,100,-100,100,-100,1
"298",0,0,100,-100,100,-100,1
"299",0,0,100,-100,100,-100,1
"300",0,0,100,-100,100,-100,1
"301",0,0,100,-100,100,-100,1
"302",0,0,100,-100,100,-100,1
"303",0,0,100,-100,100,-100,1
"304",0,0,100,-100,100,-100,1
"305",0,0,100,-100,100,-100,1
"306",0,0,100,-100,100,-100,1
"307",0,0,100,-100,100,-100,1
"308",0,0,100,-100,100,-100,1
"309",0,0,100,-100,100,-100,1
"310",0,0,100,-100,100,-100,1
"311",0,0,100,-100,100,-100,1
"312",0,0,100,-100,100,-100,1
"313",0,0,100,-100,100,-100,1
"314",0,0,100,-100,100,-100,1
"315",0,0,100,-100,100,-100,1
"316",0,0,100,-100,100,-100,1
"317",0,0,100,-100,100,-100,1
"318",0,0,100,-100,100,-100,1
"319",0,0,100,-100,100,-100,1
"320",0,0,100,-100,100,-100,1
"321",0,0,100,-100,100,-100,1
"322",0,0,100,-100,100,-100,1
"323",0,0,100,-100,100,-100,1
"324",0,0,100,-100,100,-100,1
"325",0,0,100,-100,100,-100,1
"326",0,0,100,-100,100,-100,1
"327",0,0,100,-100,100,-100,1
"328",0,0,100,-100,100,-100,1
"329",0,0,100,-100,100,-100,1
"330",0,0,100,-100,100,-100,1
"331",0,0,100,-100,100,-100,1
"332",0,0,100,-100,100,-100,1
"333",0,0,100,-100,100,-100,1
"334",0,0,100,-100,100,-100,1
"335",0,0,100,-100,100,-100,1
"336",0,0,100,-100,100,-100,1
"337",0,0,100,-100,100,-100,1
"338",0,0,100,-100,100,-100,1
"339",0,0,100,-100,100,-100,1
"340",0,0,100,-100,100,-100,1
"341",0,0,100,-100,100,-100,1
"342",0,0,100,-100,100,-100,1
"343",0,0,100,-100,100,-100,1
"344",0,0,100,-100,100,-100,1
"345",0,0,100,-100,100,-100,1
"346",0,0,100,-100,100,-100,1
"347",0,0,100,-100,100,-100,1
"348",0,0,100,-100,100,-100,1
"349",0,0,100,-100,100,-100,1
"350",0,0,100,-100,100,-100,1
"351",0,0,100,-100,100,-100,1
"352",0,0,100,-100,100,-100,1
"353",0,0,100,-100,100,-100,1
"354",0,0,100,-100,100,-100,1
"355",0,0,100,-100,100,-100,1
"356",0,0,100,-100,100,-100,1
"357",0,0,100,-100,100,-100,1
"358",0,0,100,-100,100,-100,1
"359",0,0,100,-100,100,-100,1
"360",0,0,100,-100,100,-100,1
"361",0,0,100,-100,100,-100,1
"362",0,0,100,-100,100,-100,1
"363",0,0,100,-100,100,-100,1
"364",0,0,100,-100,100,-100,1
"365",0,0,100,-100,100,-100,1
"366",0,0,100,-100,100,-100,1
"367",0,0,100,-100,100,-100,1
"368",0,0,100,-100,100,-100,1
"369",0,0,100,-100,100,-100,1
"370",0,0,100,-100,100,-100,1
"371",0,0,100,-100,100,-100,1
"372",0,0,100,-100,100,-100,1
"373",0,0,100,-100,100,-100,1
"374",0,0,100,-100,100,-100,1
"375",0,0,100,-100,100,-100,1
"376",0,0,100,-100,100,-100,1
"377",0,0,100,-100,100,-100,1
"378",0,0,100,-100,100,-100,1
"379",0,0,100,-100,100,-100,1
"380",0,0,100,-100,100,-100,1
"381",0,0,100,-100,100,-100,1
"382",0,0,100,-100,100,-100,1
"383",0,0,100,-100,100,-100,1
"384",0,0,100,-100,100,-100,1
"385",0,0,100,-100,100,-100,1
"386",0,0,100,-100,100,-100,1
"387",0,0,100,-100,100,-100,1
"388",0,0,100,-100,100,-100,1
"389",0,0,100,-100,100,-100,1
"390",0,0,100,-100,100,-100,1
"391",0,0,100,-100,100,-100,1
"392",0,0,100,-100,100,-100,1
"393",0,0,100,-100,100,-100,1
"394",0,0,100,-100,100,-100,1
"395",0,0,100,-100,100,-100,1
"396",0,0,100,-100,100,-100,1
"397",0,0,100,-100,100,-100,1
"398",0,0,100,-100,100,-100,1
"399",0,0,100,-100,100,-100,1
"400",0,0,100,-100,100,-100,1
"401",0,0,100,-100,100,-100,1
"402",0,0,100,-100,100,-100,1
"403",0,0,100,-100,100,-100,1
"404",0,0,100,-100,100,-100,1
"405",0,0,100,-100,100,-100,1
"406",0,0,100,-100,100,-100,1
"407",0,0,100,-100,100,-100,1
"408",0,0,100,-100,100,-100,1
"409",0,0,100,-100,100,-100,1
"410",0,0,100,-100,100,-100,1
"411",0,0,100,-100,100,-100,1
"412",0,0,100,-100,100,-100,1
"413",0,0,100,-100,100,-100,1
"414",0,0,100,-100,100,-100,1
"415",0,0,100,-100,100,-100,1
"416",0,0,100,-100,100,-100,1
"417",0,0,100,-100,100,-100,1
"418",0,0,100,-100,100,-100,1
"419",0,0,100,-100,100,-100,1
"420",0,0,100,-100,100,-100,1
"421",0,0,100,-100,100,-100,1
"422",0,0,100,-100,100,-100,1
"423",0,0,100,-100,100,-100,1
"424",0,0,100,-100,100,-100,1
"425",0,0,100,-100,100,-100,1
"426",0,0,100,-100,100,-100,1
"427",0,0,100,-100,100,-100,1
"428",0,0,100,-100,100,-100,1
"429",0,0,100,-100,100,-100,1
"430",0,0,100,-100,100,-100,1
"431",0,0,100,-100,100,-100,1
"432",0,0,100,-100,100,-100,1
"433",0,0,100,-100,100,-100,1
"434",0,0,100,-100,100,-100,1
"435",0,0,100,-100,100,-100,1
"436",0,0,100,-100,100,-100,1
"437",0,0,100,-100,100,-100,1
"438",0,0,100,-100,100,-100,1
"439",0,0,100,-100,100,-100,1
"440",0,0,100,-100,100,-100,1
"441",0,0,100,-100,100,-100,1
"442",0,0,100,-100,100,-100,1
"443",0,0,100,-100,100,-100,1
"444",0,0,100,-100,100,-100,1
"445",0,0,100,-100,100,-100,1
"446",0,0,100,-100,100,-100,1
"447",0,0,100,-100,100,-100,1
"448",0,0,100,-100,100,-100,1
"449",0,0,100,-100,100,-100,1
"450",0,0,100,-100,100,-100,1
"451",0,0,100,-100,100,-100,1
"452",0,0,100,-100,100,-100,1
"453",0,0,100,-100,100,-100,1
"454",0,0,100,-100,100,-100,1
"455",0,0,100,-100,100,-100,1
"456",0,0,100,-100,100,-100,1
"457",0,0,100,-100,100,-100,1
"458",0,0,100,-100,100,-100,1
"459",0,0,100,-100,100,-100,1
"460",0,0,100,-100,100,-100,1
"461",0,0,100,-100,100,-100,1
"462",0,0,100,-100,100,-100,1
"463",0,0,100,-100,100,-100,1
"464",0,0,100,-100,100,-100,1
"465",0,0,100,-100,100,-100,1
"466",0,0,100,-100,100,-100,1
"467",0,0,100,-100,100,-100,1
"468",0,0,100,-100,100,-100,1
"469",0,0,100,-100,100,-100,1
"470",0,0,100,-100,100,-100,1
"471",0,0,100,-100,100,-100,1
"472",0,0,100,-100,100,-100,1
"473",0,0,100,-100,100,-100,1
"474",0,0,100,-100,100,-100,1
"475",0,0,100,-100,100,-100,1
"476",0,0,100,-100,100,-100,1
"477",0,0,100,-100,100,-100,1
"478",0,0,100,-100,100,-100,1
"479",0,0,100,-100,100,-100,1
"480",0,0,100,-100,100,-100,1
"481",0,0,100,-100,100,-100,1
"482",0,0,100,-100,100,-100,1
"483",0,0,100,-100,100,-100,1
"484",0,0,100,-100,100,-100,1
"485",0,0,100,-100,100,-100,1
"486",0,0,100,-100,100,-100,1
"487",0,0,100,-100,100,-100,1
"488",0,0,100,-100,100,-100,1
"489",0,0,100,-100,100,-100,1
"490",0,0,100,-100,100,-100,1
"491",0,0,100,-100,100,-100,1
"492",0,0,100,-100,100,-100,1
"493",0,0,100,-100,100,-100,1
"494",0,0,100,-100,100,-100,1
"495",0,0,100,-100,100,-100,1
"496",0,0,100,-100,100,-100,1
"497",0,0,-20000,20000,-20000,20000,2
"498",0,0,100,-100,100,-100,1
"499",0,0,100,-100,100,-100,1
"500",0,0,100,-100,100,-100,1
"501",0,0,100,-100,100,-100,1
"502",0,0,100,-100,100,-100,1
"503",0,0,100,-100,100,-100,1
"504",0,0,100,-100,100,-100,1
"505",0,0,100,-100,100,-100,1
"506",0,0,100,-100,100,-100,1
"507",0,0,100,-100,100,-100,1
"508",0,0,100,-100,100,-100,1
"509",0,0,100,-100,100,-100,1
"510",0,0,100,-100,100,-100,1
"511",0,0,100,-100,100,-100,1
"512",0,0,100,-100,100,-100,1
"513",0,0,100,-100,100,-100,1
"514",0,0,100,-100,100,-100,1
"515",0,0,100,-100,100,-100,1
"516",0,0,100,-100,100,-100,1
"517",0,0,100,-100,100,-100,1
"518",0,0,100,-100,100,-100,1
"519",0,0,100,-100,100,-100,1
"520",0,0,100,-100,100,-100,1
"521",0,0,100,-100,100,-100,1
"522",0,0,100,-100,100,-100,1
"523",0,0,100,-100,100,-100,1
"524",0,0,100,-100,100,-100,1
"525",0,0,100,-100,100,-100,1
"526",0,0,100,-100,100,-100,1
"527",0,0,100,-100,100,-100,1
"528",0,0,100,-100,100,-100,1
"529",0,0,100,-100,100,-100,1
"530",0,0,100,-100,100,-100,1
"531",0,0,100,-100,100,-100,1
"532",0,0,100,-100,100,-100,1
"533",0,0,100,-100,100,-100,1
"534",0,0,100,-100,100,-100,1
"535",0,0,100,-100,100,-100,1
"536",0,0,100,-100,100,-100,1
"537",0,0,100,-100,100,-100,1
"538",0,0,100,-100,100,-100,1
"539",0,0,100,-100,100,-100,1
"540",0,0,100,-100,100,-100,1
"541",0,0,100,-100,100,-100,1
"542",0,0,100,-100,100,-100,1
"543",0,0,100,-100,100,-100,1
"544",0,0,100,-100,100,-100,1
"545",0,0,100,-100,100,-100,1
"546",0,0,100,-100,100,-100,1
"547",0,0,100,-100,100,-100,1
"548",0,0,100,-100,100,-100,1
"549",0,0,100,-100,100,-100,1
"550",0,0,100,-100,100,-100,1
"551",0,0,100,-100,100,-100,1
"552",0,0,100,-100,100,-100,1
"553",0,0,100,-100,100,-100,1
"554",0,0,100,-100,100,-100,1
"555",0,0,100,-100,100,-100,1
"556",0,0,100,-100,100,-100,1
"557",0,0,100,-100,100,-100,1
"558",0,0,100,-100,100,-100,1
"559",0,0,100,-100,100,-100,1
"560",0,0,100,-100,100,-100,1
"561",0,0,100,-100,100,-100,1
"562",0,0,100,-100,100,-100,1
"563",0,0,100,-100,100,-100,1
"564",0,0,100,-100,100,-100,1
"565",0,0,100,-100,100,-100,1
"566",0,0,100,-100,100,-100,1
"567",0,0,100,-100,100,-100,1
"568",0,0,100,-100,100,-100,1
"569",0,0,100,-100,100,-100,1
"570",0,0,100,-100,100,-100,1
"571",0,0,100,-100,100,-100,1
"572",0,0,100,-100,100,-100,1
"573",0,0,100,-100,100,-100,1
"574",0,0,100,-100,100,-100,1
"575",0,0,100,-100,100,-100,1
"576",0,0,100,-100,100,-100,1
"577",0,0,100,-100,100,-100,1
"578",0,0,100,-100,100,-100,1
"579",0,0,100,-100,100,-100,1
"580",0,0,100,-100,100,-100,1
"581",0,0,100,-100,100,-100,1
"582",0,0,100,-100,100,-100,1
"583",0,0,100,-100,100,-100,1
"584",0,0,100,-100,100,-100,1
"585",0,0,100,-100,100,-100,1
"586",0,0,100,-100,100,-100,1
"587",0,0,-20000,20000,-20000,20000,2
"588",0,0,100,-100,100,-100,1
"589",0,0,100,-100,100,-100,1
"590",0,0,100,-100,100,-100,1
"591",0,0,100,-100,100,-100,1
"592",0,0,100,-100,100,-100,1
"593",0,0,100,-100,100,-100,1
"594",0,0,100,-100,100,-100,1
"595",0,0,100,-100,100,-100,1
"596",0,0,100,-100,100,-100,1
"597",0,0,100,-100,100,-100,1
"598",0,0,-20000,20000,-20000,20000,2
"599",0,0,100,-100,100,-100,1
"600",0,0,100,-100,100,-100,1
"601",0,0,100,-100,100,-100,1
"602",0,0,100,-100,100,-100,1
"603",0,0,100,-100,100,-100,1
"604",0,0,100,-100,100,-100,1
"605",0,0,100,-100,100,-100,1
"606",0,0,100,-100,100,-100,1
"607",0,0,100,-100,100,-100,1
"608",0,0,100,-100,100,-100,1
"609",0,0,100,-100,100,-100,1
"610",0,0,100,-100,100,-100,1
"611",0,0,100,-100,100,-100,1
"612",0,0,100,-100,100,-100,1
"613",0,0,100,-100,100,-100,1
"614",0,0,100,-100,100,-100,1
"615",0,0,100,-100,100,-100,1
"616",0,0,100,-100,100,-100,1
"617",0,0,100,-100,100,-100,1
"618",0,0,100,-100,100,-100,1
"619",0,0,100,-100,100,-100,1
"620",0,0,100,-100,100,-100,1
"621",0,0,100,-100,100,-100,1
"622",0,0,100,-100,100,-100,1
"623",0,0,100,-100,100,-100,1
"624",0,0,100,-100,100,-100,1
"625",0,0,100,-100,100,-100,1
"626",0,0,100,-100,100,-100,1
"627",0,0,100,-100,100,-100,1
"628",0,0,100,-100,100,-100,1
"629",0,0,100,-100,100,-100,1
"630",0,0,100,-100,100,-100,1
"631",0,0,100,-100,100,-100,1
"632",0,0,100,-100,100,-100,1
"633",0,0,100,-100,100,-100,1
"634",0,0,100,-100,100,-100,1
"635",0,0,100,-100,100,-100,1
"636",0,0,100,-100,100,-100,1
"637",0,0,100,-100,100,-100,1
"638",0,0,100,-100,100,-100,1
"639",0,0,-20000,20000,-20000,20000,2
"640",0,0,100,-100,100,-100,1
"641",0,0,100,-100,100,-100,1
"642",0,0,100,-100,100,-100,1
"643",0,0,100,-100,100,-100,1
"644",0,0,100,-100,100,-100,1
"645",0,0,100,-100,100,-100,1
"646",0,0,100,-100,100,-100,1
"647",0,0,100,-100,100,-100,1
"648",0,0,100,-100,100,-100,1
"649",0,0,100,-100,100,-100,1
"650",0,0,100,-100,100,-100,1
"651",0,0,100,-100,100,-100,1
"652",0,0,100,-100,100,-100,1
"653",0,0,100,-100,100,-100,1
"654",0,0,100,-100,100,-100,1
"655",0,0,100,-100,100,-100,1
"656",0,0,100,-100,100,-100,1
"657",0,0,100,-100,100,-100,1
"658",0,0,100,-100,100,-100,1
"659",0,0,100,-100,100,-100,1
"660",0,0,-20000,20000,-20000,20000,2
"661",0,0,100,-100,100,-100,1
"662",0,0,100,-100,100,-100,1
"663",0,0,100,-100,100,-100,1
"664",0,0,100,-100,100,-100,1
"665",0,0,100,-100,100,-100,1
"666",0,0,100,-100,100,-100,1
"667",0,0,100,-100,100,-100,1
"668",0,0,100,-100,100,-100,1
"669",0,0,100,-100,100,-100,1
"670",0,0,100,-100,100,-100,1
"671",0,0,100,-100,100,-100,1
"672",0,0,100,-100,100,-100,1
"673",0,0,100,-100,100,-100,1
"674",0,0,-20000,20000,-20000,20000,2
"675",0,0,100,-100,100,-100,1
"676",0,0,100,-100,100,-100,1
"677",0,0,100,-100,100,-100,1
"678",0,0,100,-100,100,-100,1
"679",0,0,100,-100,100,-100,1
"680",0,0,100,-100,100,-100,1
"681",0,0,100,-100,100,-100,1
"682",0,0,100,-100,100,-100,1
"683",0,0,100,-100,100,-100,1
"684",0,0,100,-100,100,-100,1
"685",0,0,100,-100,100,-100,1
"686",0,0,100,-100,100,-100,1
"687",0,0,100,-100,100,-100,1
"688",0,0,100,-100,100,-100,1
"689",0,0,100,-100,100,-100,1
"690",0,0,100,-100,100,-100,1
"691",0,0,100,-100,100,-100,1
"692",0,0,100,-100,100,-100,1
"693",0,0,100,-100,100,-100,1
"694",0,0,100,-100,100,-100,1
"695",0,0,100,-100,100,-100,1
"696",0,0,100,-100,100,-100,1
"697",0,0,100,-100,100,-100,1
"698",0,0,100,-100,100,-100,1
"699",0,0,100,-100,100,-100,1
"700",0,0,100,-100,100,-100,1
"701",0,0,100,-100,100,-100,1
"702",0,0,100,-100,100,-100,1
"703",0,0,100,-100,100,-100,1
"704",0,0,100,-100,100,-100,1
"705",0,0,-20000,20000,-20000,20000,2
"706",0,0,100,-100,100,-100,1
"707",0,0,100,-100,100,-100,1
"708",0,0,100,-100,100,-100,1
"709",0,0,-20000,20000,-20000,20000,2
"710",0,0,100,-100,100,-100,1
"711",0,0,100,-100,100,-100,1
"712",0,0,100,-100,100,-100,1
"713",0,0,100,-100,100,-100,1
"714",0,0,100,-100,100,-100,1
"715",0,0,100,-100,100,-100,1
"716",0,0,100,-100,100,-100,1
"717",0,0,100,-100,100,-100,1
"718",0,0,100,-100,100,-100,1
"719",0,0,100,-100,100,-100,1
"720",0,0,100,-100,100,-100,1
"721",0,0,100,-100,100,-100,1
"722",0,0,100,-100,100,-100,1
"723",0,0,100,-100,100,-100,1
"724",0,0,100,-100,100,-100,1
"725",0,0,100,-100,100,-100,1
"726",0,0,100,-100,100,-100,1
"727",0,0,100,-100,100,-100,1
"728",0,0,100,-100,100,-100,1
"729",0,0,100,-100,100,-100,1
